x,y,z
-4.588988210052356,-2.7482329193223367,-3.374978278236365
-4.588988210052356,-2.7482329193223367,-2.7613603119466927
-4.588988210052356,-2.7482329193223367,-2.1477423456570204
-4.588988210052356,-2.7482329193223367,-1.534124379367348
-4.588988210052356,-2.7482329193223367,-0.9205064130776757
-4.588988210052356,-2.7482329193223367,-0.3068884467880033
-4.588988210052356,-2.7482329193223367,0.30672951950166905
-4.588988210052356,-2.7482329193223367,0.9203474857913418
-4.588988210052356,-2.7482329193223367,1.5339654520810138
-4.588988210052356,-2.7482329193223367,2.1475834183706857
-4.588988210052356,-2.7482329193223367,2.7612013846603585
-4.588988210052356,-2.7482329193223367,3.3748193509500313
-4.588988210052356,-2.0716595444786536,-3.374978278236365
-4.588988210052356,-2.0716595444786536,-2.7613603119466927
-4.588988210052356,-2.0716595444786536,-2.1477423456570204
-4.588988210052356,-2.0716595444786536,-1.534124379367348
-4.588988210052356,-2.0716595444786536,-0.9205064130776757
-4.588988210052356,-2.0716595444786536,-0.3068884467880033
-4.588988210052356,-2.0716595444786536,0.30672951950166905
-4.588988210052356,-2.0716595444786536,0.9203474857913418
-4.588988210052356,-2.0716595444786536,1.5339654520810138
-4.588988210052356,-2.0716595444786536,2.1475834183706857
-4.588988210052356,-2.0716595444786536,2.7612013846603585
-4.588988210052356,-2.0716595444786536,3.3748193509500313
-4.588988210052356,-1.3950861696349701,-3.374978278236365
-4.588988210052356,-1.3950861696349701,-2.7613603119466927
-4.588988210052356,-1.3950861696349701,-2.1477423456570204
-4.588988210052356,-1.3950861696349701,-1.534124379367348
-4.588988210052356,-1.3950861696349701,-0.9205064130776757
-4.588988210052356,-1.3950861696349701,-0.3068884467880033
-4.588988210052356,-1.3950861696349701,0.30672951950166905
-4.588988210052356,-1.3950861696349701,0.9203474857913418
-4.588988210052356,-1.3950861696349701,1.5339654520810138
-4.588988210052356,-1.3950861696349701,2.1475834183706857
-4.588988210052356,-1.3950861696349701,2.7612013846603585
-4.588988210052356,-1.3950861696349701,3.3748193509500313
-4.588988210052356,-0.7185127947912875,-3.374978278236365
-4.588988210052356,-0.7185127947912875,-2.7613603119466927
-4.588988210052356,-0.7185127947912875,-2.1477423456570204
-4.588988210052356,-0.7185127947912875,-1.534124379367348
-4.588988210052356,-0.7185127947912875,-0.9205064130776757
-4.588988210052356,-0.7185127947912875,-0.3068884467880033
-4.588988210052356,-0.7185127947912875,0.30672951950166905
-4.588988210052356,-0.7185127947912875,0.9203474857913418
-4.588988210052356,-0.7185127947912875,1.5339654520810138
-4.588988210052356,-0.7185127947912875,2.1475834183706857
-4.588988210052356,-0.7185127947912875,2.7612013846603585
-4.588988210052356,-0.7185127947912875,3.3748193509500313
-4.588988210052356,-0.04193941994760486,-3.374978278236365
-4.588988210052356,-0.04193941994760486,-2.7613603119466927
-4.588988210052356,-0.04193941994760486,-2.1477423456570204
-4.588988210052356,-0.04193941994760486,-1.534124379367348
-4.588988210052356,-0.04193941994760486,-0.9205064130776757
-4.588988210052356,-0.04193941994760486,-0.3068884467880033
-4.588988210052356,-0.04193941994760486,0.30672951950166905
-4.588988210052356,-0.04193941994760486,0.9203474857913418
-4.588988210052356,-0.04193941994760486,1.5339654520810138
-4.588988210052356,-0.04193941994760486,2.1475834183706857
-4.588988210052356,-0.04193941994760486,2.7612013846603585
-4.588988210052356,-0.04193941994760486,3.3748193509500313
-4.588988210052356,0.6346339548960787,-3.374978278236365
-4.588988210052356,0.6346339548960787,-2.7613603119466927
-4.588988210052356,0.6346339548960787,-2.1477423456570204
-4.588988210052356,0.6346339548960787,-1.534124379367348
-4.588988210052356,0.6346339548960787,-0.9205064130776757
-4.588988210052356,0.6346339548960787,-0.3068884467880033
-4.588988210052356,0.6346339548960787,0.30672951950166905
-4.588988210052356,0.6346339548960787,0.9203474857913418
-4.588988210052356,0.6346339548960787,1.5339654520810138
-4.588988210052356,0.6346339548960787,2.1475834183706857
-4.588988210052356,0.6346339548960787,2.7612013846603585
-4.588988210052356,0.6346339548960787,3.3748193509500313
-4.588988210052356,1.3112073297397622,-3.374978278236365
-4.588988210052356,1.3112073297397622,-2.7613603119466927
-4.588988210052356,1.3112073297397622,-2.1477423456570204
-4.588988210052356,1.3112073297397622,-1.534124379367348
-4.588988210052356,1.3112073297397622,-0.9205064130776757
-4.588988210052356,1.3112073297397622,-0.3068884467880033
-4.588988210052356,1.3112073297397622,0.30672951950166905
-4.588988210052356,1.3112073297397622,0.9203474857913418
